,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b0618,350.920694459238,8.75840409810539,0.752148816737963,10.314985446302,6.02904422944822e-25,4.53534852160243e-22
b2678,2389.50357950091,8.40511689099741,0.985402154176307,7.51481703141528,5.69905823964589e-14,7.14519426795604e-12
b0616,702.041869189268,8.21210899136547,0.689460486695199,10.4605109800206,1.31146486512309e-25,1.31539925971846e-22
b0613,253.913746281996,8.08050202746208,0.852496966323539,8.30560378179093,9.93131221892709e-17,2.29871680513474e-14
b0615,885.223842534313,8.06318002027622,0.717479399004556,9.84443599366868,7.24444053279785e-23,3.63308692719812e-20
b2677,13141.2011159702,8.05045899465246,0.924178244996858,7.62889521888327,2.3677397887767e-14,3.23842228383141e-12
b0614,145.070809408147,7.41671341185832,0.745522924238641,8.60699678472173,7.49995497254822e-18,2.05157859203614e-15
b0617,161.64465290471,7.3922587681713,0.79886257993709,8.00170007797171,1.22712990490677e-15,2.46162258924299e-13
b1796,776.302102663238,7.29169979344287,0.88148719934008,7.13759632375049,9.49770645540752e-13,8.93081210135038e-11
b2870,1915.80277913849,7.01160589993568,0.841587659179497,7.14317259095348,9.12009940343725e-13,8.85238035643313e-11
b2679,5406.97389143131,6.99769474211099,0.964379253188946,6.2192282986991,4.99605934356257e-10,3.08628372362128e-08
b2725,191.388980121526,6.84221987523033,0.490893583592832,11.901194210915,1.16665572693896e-32,3.51046708235932e-29
b2871,1215.46629771458,6.65778430238721,0.797108719882233,7.09788283739151,NA,NA
b3366,76.915711272939,6.46299539062298,0.654632416698052,8.34513423300694,7.11330432783712e-17,1.78366106020516e-14
b2872,1984.0450341331,6.30510914295277,0.664979533675928,7.97785326358354,1.48900259205399e-15,2.80025549968153e-13
b0612,663.046644374083,6.25913598965154,0.719622623410784,7.30818601105799,2.70772792990786e-13,3.01761234855287e-11
b1797,4109.15548849294,6.23547122750794,0.897352817272699,5.83435091162914,5.40003671491742e-09,2.6637230287191e-07
b0823,1110.61683250107,6.21046044221742,0.716099315469938,7.2761701200595,3.43430461659322e-13,3.56338710045828e-11
b0824,585.530118024616,6.16026087334736,0.719806900160038,7.16895166217502,7.5574232586138e-13,7.58009552838965e-11
b2878,802.558918607672,6.15883335592676,0.661497711551576,7.79871685999707,6.25398071776776e-15,1.04545710998684e-12
b0518,417.126499177541,6.06283486723135,0.653990618819297,7.74144876324327,9.82903054865966e-15,1.55660804846931e-12
b3547,1863.14417440709,5.98141335668771,0.732493572005119,6.80062398780053,1.04166975770382e-11,8.4713089214346e-10
b3242,918.673348101025,5.89069745251997,0.78650132668512,6.21829523560103,5.02585252434173e-10,3.08628372362128e-08
b0996,1990.35665849998,5.87684336494369,0.886938393604162,5.4985142148669,3.83004669871569e-08,1.51639612058362e-06
b2710,527.738330057139,5.8430823493275,1.10364079523737,4.38827775325744,NA,NA
b0063,3742.43116999399,5.83497881459494,0.932831718267994,5.18312008469451,NA,NA
b0511,1148.14349488867,5.76954872436377,0.632514490064845,7.54061574759308,4.67757512109977e-14,6.11948849538661e-12
b4506,20.1077545150118,5.70766429273788,0.755662814931093,6.22984775712056,4.66888665985483e-10,2.98908084244749e-08
b4671,1608.38906773785,5.66368805488623,1.06435739249978,4.38169367521653,1.17760298164667e-05,0.000281222807283717
b1532,484.244848941387,5.47172937389907,1.11124917406528,4.0240564207037,5.72042031233543e-05,0.00113991686886207
b2879,213.673958291077,5.46757204180087,0.635429242751677,7.03079389682224,2.05361665001703e-12,1.81745073526507e-10
b1475,2148.67759315636,5.41438318357078,0.54154811326354,8.15141457509345,3.59691720992714e-16,7.73080277476482e-14
b3241,2323.86062222412,5.36660863934818,0.720445464150191,6.06098428907295,1.3529104857778e-09,7.40165027582799e-08
b0040,197.408577592505,5.35700902062271,0.391435972230305,11.1308344907535,8.88002510680907e-29,1.33599977731943e-25
