,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b3364,3977.13015459138,7.3835555547329,0.770371851502765,8.28633022128273,1.16796219602259e-16,2.19649890489498e-14
b2971,1883.40734586891,7.13973180246464,0.674767962118477,9.09902684648596,9.11448152056696e-20,3.91792498505514e-17
b3261,3480.17880302774,5.83579751538437,0.448354994065171,10.7856443652805,4.0241313389911e-27,6.0543055995121e-24
b2533,8918.94113531817,5.68945740809741,0.33642902192943,13.9389205521071,3.67455649405195e-44,1.10567404906023e-40
b3437,2318.94125142594,5.49305458913393,0.465106653359385,9.66026728854848,4.44702154284222e-22,2.67621756448245e-19
b3366,76.915711272939,5.47006516124419,0.927236209508675,4.82084836140383,1.42948990778777e-06,2.40864262086701e-05
b2796,8230.43700027297,5.37935561985897,0.518479097455117,8.44654228368016,3.00057349159237e-17,6.44908974014388e-15
b3936,2994.21843856612,5.33660223499388,0.461940852142739,9.387786801878,6.12742068800093e-21,3.07290147503247e-18
b1475,2148.67759315636,5.29712191353454,0.54295253382958,7.91436018030134,2.4852784479553e-15,3.42637023892614e-13
b1821,1284.4520756352,5.27913140054861,0.971495641381768,4.4046840956099,1.05938142875331e-05,0.000143589131491834
b3552,2310.34258109425,5.06816960113768,0.695660821942522,5.84792110295641,4.97754525530657e-09,1.76205102037853e-07
b1047,786.431427632286,4.9213627853822,0.386622301857684,10.1426192088258,3.57386370290417e-24,3.58458529401289e-21
b4476,2364.27317336733,4.78480549404766,0.496737303327071,7.61933011412191,2.54995569731087e-14,3.1970069555035e-12
b2069,1956.95741575255,4.78179345996458,0.670428698525667,5.64085855554973,1.69204319916769e-08,5.09135798629558e-07
b2250,659.931250067633,4.6870953010785,0.584516258731221,6.30794309996079,2.82768125149679e-10,1.39483489930391e-08
b3556,17064.4809362832,4.66611012672366,0.72977722266185,5.02360174157202,5.07113406030485e-07,9.97323031859953e-06
b2968,310.887022796239,4.6101647244507,0.473361524218509,7.62665434291656,2.40924440708427e-14,3.15192018300721e-12
b0990,1507.74909911275,4.60703207898114,0.837235906439952,4.30826252342516,1.6454201589793e-05,0.000212492242848443
b3260,42819.8326097913,4.50741849764794,0.560032437141298,6.26288454924444,3.77920425375862e-10,1.83413316121931e-08
b0010,1682.37252467323,4.4916542825488,0.653361987917411,5.34413441112243,9.08501372277907e-08,2.27806719098685e-06
b2498,7192.56719248127,4.47212464314162,0.395831873653292,8.77171565567971,1.75964301959934e-18,5.2947658459744e-16
b3686,850.390215135685,4.46381328489956,0.76412550625861,4.53304235564578,5.81401510837063e-06,8.2520620099468e-05
b4469,2200.59834538953,4.44048129900679,0.417216913553872,8.2462651614495,1.6342182628096e-16,2.89256632517299e-14
b1109,9017.7158664513,4.42065736289879,0.576380636879962,5.93471942675823,2.94348426132872e-09,1.15025248601794e-07
b1172,301.350113845327,4.34255871760253,0.679941149398567,4.91595297704684,8.8351604697592e-07,1.57307679606541e-05
b0777,202.700919941692,4.34141208459696,0.815029509977345,4.09974368251996,4.13607965229993e-05,0.000459242201984151
b3539,890.864158183845,4.31729262275386,0.624769083531013,5.3096299259968,1.09848052870428e-07,2.70928517284522e-06
b2562,1313.98839937213,4.3126426287128,0.495252401439697,6.68879670059743,2.25013062032832e-11,1.38176388501386e-09
b0238,3883.92864969929,4.25877942808367,0.325482623567798,10.0121456327295,1.34796813726383e-23,1.01400903125671e-20
b2972,1077.36403826194,4.24319412499558,0.740311861178375,4.38084852488152,1.18218035656377e-05,0.000156040011353631
b2765,541.313860604203,4.21445555206778,0.46003185732066,6.98746293526186,2.79901485237127e-12,2.27627991642842e-10
b3257,84.2920042987064,4.20712610567429,0.54466885817957,5.88821273239923,3.90394402803594e-09,1.43255702199514e-07
